id,group_id,task_type,name,explanation,text,explanation_path
1,0,0,Change in orientation,"Fish in swarms often move in the same direction. Finding when this common orientation changes towards another direction is an important task to researchers. 
In this task, you will identify the begin of all major changes in orientation of the movers. A major change in orientation happens, when movers turn from one common direction to another within a short period of time. <br> In the below animation, examples of suchs moments are given. Note, how the movers first begin to turn, then the majority has turned, then the turn is finished. 
<br>
As you have learned, a major change in orientation happens, when the movers turn from one common direction to another within a short period of time. In the upcoming task, please mark the moments in time where you think the movers start to turn towards a new direction by clicking on the respective moment on the Input timeline. You can select multiple times by clicking at different parts of the timeline. If you want to correct your selections, you can undo them step by step or completely using the respective buttons. When you are done, please hit the ""Finish Task"" button at the end of the page. Please try to accomplish the task as quickly as reasonably possible to you. You can now proceed using the below ""Start Task"" button.","<b>Identify the begin of all major changes in orientation</b> of the movers. Mark the moments in time where you think the movers <b>start to turn towards a new general direction</b> by clicking on the respective moment on the Input timeline. You can select multiple times by clicking at different parts of the timeline. If you want to correct your selections, you can undo them step by step or completely using the respective buttons. You can use the animation controls to pause, slow down or speed up the animation speed. You can quickly scroll through the whole animation by dragging the time slider using your mouse. When you are done, please hit the ""Finish Task"" button at the end of the page. Please try to accomplish the task as quickly as reasonably possible to you. ",
2,1,0,Change in orientation,"Fish in swarms often move in the same direction. Finding when this common orientation changes towards another direction is an important task to researchers. 
In this task, you will identify the begin of all major changes in orientation of the movers. A major change in orientation happens, when movers turn from one common direction to another within a short period of time. You will use a novel visualization to accomplish this task. PLease take some time to thoroughly review the annotated example. <br>

In the visualization below, major directional changes are expressed in wave patterns. A wave pattern can lead upwards or downwards. As soon as the wave pattern changes its orientation, the group takes a new common direction. The below example shows when such events occur.<br> 

In the next steps, it is your task to identify the orientation change events. As you can see below, these events always happen, when the majority of the lines start to change their direction, either from parallel to upwards or downwards, or from upwards or downwards to parallel appearing lines.  Each dashed line marked with „Orientation Change“ signifies such a major directional change point as you will be looking for in the task. <br> You can select multiple times by clicking at different parts of the visualization. If you want to correct your selections, you can undo them step by step or completely using the respective buttons. When you are done, please hit the ""Finish Task"" button at the end of the page. Please try to accomplish the task as quickly as reasonably possible to you. <br>","<b>Identify the begin of all major changes in orientation</b> of the movers. Mark the moments in time where you think the movers <b>start to turn towards a new general direction</b> by clicking on the respective moments directly in the visualization. You can select multiple times by clicking at different parts of the visualization. If you want to correct your selections, you can undo them step by step or completely using the respective buttons. When you are done, please hit the ""Finish Task"" button at the end of the page. Please try to accomplish the task as quickly as reasonably possible to you. ",
3,2,0,Change in orientation,"Fish in swarms often move in the same direction. Finding when this common orientation changes towards another direction is an important task to researchers. 
In this task, you will identify the begin of all major changes in orientation of the movers. A major change in orientation happens, when movers turn from one common direction to another within a short period of time. In the next steps, you will see a chronologically ordered sequence of snapshots taken from the movements as you can see in the example below.<br> In the below example, each image represents a snapshot of the movement dataset. From the left to the right and from the top to the bottom, the images are ordered by time. That means, that an image next to another represents the next movement situation coming after the previous image after a regular interval.<br>You can select multiple images where you think such an event happens by clicking on them. If you think that you have made a mistake, you can correct your answer by clicking the image again, so that the red outline will disappear. When you are done, please hit the ""Finish Task"" button at the end of the page. Please try to accomplish the task as quickly as reasonably possible to you.","In this task, please <b>identify the begin of all major changes in orientation</b> of the movers. A major change in orientation happens, when the movers turn from one common direction to another within a short period of time. Please <b>mark the moments in time where you think the the movers start to turn towards a new direction</b> by clicking each picture where you think this happens. If you think you have made a mistake, you can correct your answer by clicking the wrong image again to deselect it. When you are done, please hit the ""Finish Task"" button at the end of the page. Please try to accomplish the task as quickly as reasonably possible to you.",
4,3,0,Change in orientation,"In this task, you will identify the begin of all major changes in orientation of the movers. A major change in orientation happens, when movers turn from one common direction to another within a short period of time.<br>You can select multiple images where you think such an event happens by clicking on them. If you think that you have made a mistake, you can correct your answer by clicking the image again, so that the red outline will disappear. When you are done, please hit the ""Finish Task"" button at the end of the page. Please try to accomplish the task as quickly as reasonably possible to you.","In this task, please <b>identify the begin of all major changes in orientation</b> of the movers. A major change in orientation happens, when the movers turn from one common direction to another within a short period of time. <b>Please mark the moments in time where you think the the movers start to turn towards a new direction</b> by clicking on the image. You can select multiple images where you think such an event happens by clicking on them. If you think that you have made a mistake, you can correct your answer by clicking the image again, so that the red outline will disappear. When you are done, please hit the ""Finish Task"" button at the end of the page. Please try to accomplish the task as quickly as reasonably possible to you.",
5,0,1,Identify trends,"Often, it is interesting to see, when movers change their behavior. For example, one can analyze whether the movers are speeding up or slowing down. In the upcoming task, we ask you to find all moments in the movement where new trends are starting. A trend starts, when one or multiple movers start to change their speed and many other movers start to do the same until some or all movers share the speed of the movers who started the trend. In the task, you will mark all points in timewhere you think that a new trend to speed up or slow down starts. To mark the beginning of a trend, click the respective moment in time on the input timeline. You can select multiple times by clicking at different parts of the timeline. If you want to correct your selections, you can undo them step by step or completely using the respective buttons. You can use the animation controls to pause, slow down or speed up the animation speed. You can quickly scroll through the whole animation by dragging the time slider using your mouse.

<br> The speed of the movers is given in the colors, where more red means faster and more blue means slower movements. A transition from blue to red means the movers speeding up and a transition from red to blue the group slowing down accordingly.<br>

When you are done, please hit the ""Finish Task"" button at the end of the page. Please try to accomplish the task as quickly as reasonably possible to you. You can now proceed using the below ""Start Task"" button.","<b>Find all moments in the movement where new trends are starting</b>. A trend starts, when one or multiple movers start to change their speed and many other movers start to do the same until some or all movers share the speed of the movers who started the trend. Please <b>mark the moments in time</b> where you think that a new trend is starting by clicking on the respective times in the input timeline. You can select multiple times by clicking at different parts of the timeline. If you think that you have made a mistake, you can undo your changes one by one or delete all selections using the respective buttons. You can use the animation controls to pause, slow down or speed up the animation speed. You can quickly scroll through the whole animation by dragging the time slider using your mouse. When you are done, please hit the ""Finish Task"" button at the end of the page. Please try to accomplish the task as quickly as reasonably possible to you.",
6,1,1,Identify trends,"Often, it is interesting to see, <i>when</i> movers change their behavior. For example, one can analyze whether the movers are speeding up or slowing down. In this task, we ask you to <b>find all moments in the movement where new trends are starting</b> using a visualization like the one you see below. A trend starts, when one or multiple movers start to change their speed and many other movers start to do the same until some or all movers share the speed of the movers who started the trend.<br>

In the task, you will <b>mark all points in time</b> where you think that a new trend to speed up or slow down starts. To mark the beginning of a trend, click the respective moment in the visualization. You can select multiple times by clicking at different parts of the visualization. If you want to correct your selections, you can undo them step by step or completely using the respective buttons.

<br> The speed of the movers is given in the colors, where more red means the movers move faster and more blue means slower movements. A transition from blue to red means the movers speeding up and a transition from red to blue the group slowing down accordingly.<br> In the example below, you can see trend starting events. For example, on the left, very few faster movers in a majority of slow movers start a trend of speeding up, while on the right, the movers slow down collectively until all movers are slow. <br>

When you are done, please hit the ""Finish Task"" button at the end of the page. Please try to accomplish the task as quickly as reasonably possible to you. You can now proceed using the below ""Start Task"" button.","In this task, we ask you to <b>find all moments in the movement where new trends are starting. Please mark the moments in time where you think that a new trend is starting</b>. You can select multiple times by clicking at different parts of the timeline.  The speed of the movers is given in the colors, where more red means faster and more blue means slower movements. A transition from blue to red means the movers speeding up and a transition from red to blue the group slowing down accordingly. If you think that you have made a mistake, you can undo your changes one by one or delete all selections using the respective buttons. When you are done, please hit the ""Finish Task"" button at the end of the page. Please try to accomplish the task as quickly as reasonably possible to you.",
7,2,1,Identify trends,"Often, it is interesting to see, when movers change their behavior. For example, one can analyze whether the movers are speeding up or slowing down. In this task, we ask you to find all moments in the movement where new trends are starting. A trend starts, when one or multiple movers start to change their speed and many other movers start to do the same until some or all movers share the speed of the movers who started the trend. Please mark all points in time where you think that a new trend starts. The speed of the movers is given in the colors, where more red means faster and more blue means slower movements. A transition from blue to red means the movers speeding up and a transition from red to blue the group slowing down accordingly. <br>","Often, it is interesting to see, when movers change their behavior. For example, one can analyze whether the movers are speeding up or slowing down. In this task, we ask you to <b>find all moments in the movement where new trends are starting</b>. A trend starts, when one or multiple movers start to change their speed and many other movers start to do the same until some or all movers share the speed of the movers who started the trend. Please mark all points in time where you think that a new trend starts. The speed of the movers is given in the colors, where more red means faster and more blue means slower movements. A transition from blue to red means the movers speeding up and a transition from red to blue the group slowing down accordingly. <br> In these images, you cannot see the movements in the time between the snapshots are taken. Consequently, to complete the task, please mark the images of which you think are the closest to where a trend change has happened.",
8,3,1,Identify trends,"Often, it is interesting to see, when movers change their behavior. For example, one can analyze whether the movers are speeding up or slowing down. In this task, we ask you to find all moments in the movement where new trends are starting. A trend starts, when one or multiple movers start to change their speed and many other movers start to do the same until some or all movers share the speed of the movers who started the trend. Please mark all points in time where you think that a new trend starts. The speed of the movers is given in the colors, where more red means faster and more blue means slower movements. A transition from blue to red means the movers speeding up and a transition from red to blue the group slowing down accordingly.","Often, it is interesting to see, <i>when</i> movers change their behavior. For example, one can analyze whether the movers are speeding up or slowing down. In this task, we ask you to <b>find all moments in the movement where new trends are starting</b>. A trend starts, when one or multiple movers start to change their speed and many other movers start to do the same until some or all movers share the speed of the movers who started the trend. Please mark all points in time where you think that a new trend starts. The speed of the movers is given in the colors, where more red means faster and more blue means slower movements. A transition from blue to red means the movers speeding up and a transition from red to blue the group slowing down accordingly. When you are done, please hit the ""Finish Task"" button at the end of the page. Please try to accomplish the task as quickly as reasonably possible to you.",
9,0,2,Identify feature values,"The next task is about finding the extremes of the movements. In other words, you will identify the time where the most movers are the slowest, and the time where most movers were the fastest. The speed of the movers is represented in their color, where a more red colors indicate faster, and more blue colors a slower speed of the fish. <br> In the task, please first look for the moment when most fish were slow. To mark the time with most slow fish, click the respective moment in time on the input timeline. If you want to correct your selections, you can undo them step by step or completely using the respective buttons. You can use the animation controls to pause, slow down or speed up the animation speed. You can quickly scroll through the whole animation by dragging the time slider using your mouse. When you have marked the right time, click ""Finish Task"". Afterwards, you will be asked to find the time where most fish were fast. Repeat the same procedure as before. <br> When you are done, please hit the ""Finish Task"" button at the end of the page. Please try to accomplish the task as quickly as reasonably possible to you. You can now proceed using the below ""Start Task"" button.","First, identify the time where the <b>most movers are the slowest</b>, then the time where <b>most movers were the fastest</b>. Red movers are fast, blue movers are slow. To mark the time with most slow fish, click the respective moment in time on the input timeline. If you want to correct your selection, you can undo it using the respective buttons. You can use the animation controls to pause, slow down or speed up the animation speed. You can quickly scroll through the whole animation by dragging the time slider using your mouse. <b>When you have selected an answer, click ""Finish Task""</b>. Repeat the same procedure as before, but this time select the moment where the movers were the slowest. When you are done, please hit the ""Finish Task"" button at the end of the page. Please try to accomplish the task as quickly as reasonably possible to you.",
10,1,2,Identify feature values,"The next task is about finding the extremes of the movements. In other words, you will identify the time where the most movers are the slowest, and the time where most movers were the fastest. The speed of the movers is represented in their color, where a more red colors indicate faster, and more blue colors a slower speed of the fish.  <br> To mark the time with most slow fish, click the respective moment in time on the visualization. If you want to correct your selections, you can undo them step by step or completely using the respective buttons. When you have marked the right time, click ""Finish Task"". Afterwards, you will be asked to find the time where most fish were fast. Repeat the same procedure as before. <br> When you are done, please hit the ""Finish Task"" button at the end of the page. Please try to accomplish the task as quickly as reasonably possible to you. You can now proceed using the below ""Start Task"" button.","First, identify the time where the <b>most movers are the slowest</b>, then the time where <b>most movers were the fastest</b>. Red movers are fast, blue movers are slow. To mark the time with most slow fish, click the respective moment in time on the visualization. If you want to correct your selection, you can undo it using the respective buttons. <b>When you have selected an answer, click ""Finish Task""</b>. Repeat the same procedure as before, but this time select the moment where the movers were the slowest. When you are done, please hit the ""Finish Task"" button at the end of the page. Please try to accomplish the task as quickly as reasonably possible to you.",
11,2,2,Identify feature values,"The next task is about finding the extremes of the movements. In other words, you will identify the time where the most movers are the slowest, and the time where most movers were the fastest. The speed of the movers is represented in their color, where a more red colors indicate faster, and more blue colors a slower speed of the fish. In the next steps, you will see a chronologically ordered sequence of snapshots taken from the movements as you can see in the example below.<br>

In the below example, each image represents a snapshot of the movement dataset. From the left to the right and from the top to the bottom, the images are ordered by time. That means, that an image next to another represents the next movement situation coming after the previous image after a regular interval. In the task, please first look for the moment when most fish were slow. To mark the time with most slow fish, click the respective image. If you want to correct your selections, you can just click the selected image again to deselect it. When you have marked the right image, click ""Finish Task"". Afterwards, you will be asked to find the time where most fish were fast. Repeat the same procedure as before. <br> When you are done, please hit the ""Finish Task"" button at the end of the page. Please try to accomplish the task as quickly as reasonably possible to you. You can now proceed using the below ""Start Task"" button.","First, identify the time where the <b>most movers are the slowest</b>, then the time where <b>most movers were the fastest</b>. Red movers are fast, blue movers are slow. To mark the time with most slow fish, click the respective moment in time on visualization. If you want to correct your selection, you can undo it using the respective buttons. <b>When you have selected an answer, click ""Finish Task""</b>. Repeat the same procedure as before, but this time select the moment where the movers were the slowest. When you are done, please hit the ""Finish Task"" button at the end of the page. Please try to accomplish the task as quickly as reasonably possible to you.",
12,3,2,Identify feature values,"The next task is about finding the extremes of the movements. In other words, you will identify the time where the most movers are the slowest, and the time where most movers were the fastest. The speed of the movers is represented in their color, where a more red colors indicate faster, and more blue colors a slower speed of the fish. In the next steps, you will see a chronologically ordered sequence of snapshots taken from the movements as you can see in the example below.<br>

In the next steps, each image represents a snapshot of the movement dataset. From the left to the right and from the top to the bottom, the images are ordered by time. That means, that an image next to another represents the next time interval of movement coming after the previous image. The time between two images is represented as the tail the movers drag after them, colored by the speed. <br>

In the task, please first look for the moment when most fish were slow. To mark the time with most slow fish, click the respective image. If you want to correct your selections, you can just click the selected image again to deselect it. When you have marked the right image, click ""Finish Task"". Afterwards, you will be asked to find the time where most fish were fast. Repeat the same procedure as before. <br> When you are done, please hit the ""Finish Task"" button at the end of the page. Please try to accomplish the task as quickly as reasonably possible to you. You can now proceed using the below ""Start Task"" button.","First, identify the time where the <b>most movers are the slowest</b>, then the time where <b>most movers were the fastest</b>. Red movers are fast, blue movers are slow. To mark the time with most slow fish, click the respective moment in time on visualization. If you want to correct your selection, you can undo it using the respective buttons. <b>When you have selected an answer, click ""Finish Task""</b>. Repeat the same procedure as before, but this time select the moment where the movers were the slowest. When you are done, please hit the ""Finish Task"" button at the end of the page. Please try to accomplish the task as quickly as reasonably possible to you.",
13,0,3,Quantify feature values,"Sometimes, parts of a group of movers behave differently than others. In the next task, you will see marked times in the visualization, where you should <b>estimate the proportion of fast movers in percent between 0% and 100%</b>. Fast movers are depicted in red, slow movers in blue.<br> In the upcoming task, please go to the respective moments in time using the time slider. Estimate, how many fish were fast by using the answer options given below the animation. You can use the animation controls to pause, slow down or speed up the animation speed. You can quickly scroll through the whole animation by dragging the time slider using your mouse. When you have selected your answer, please hit the ""Finish Task"" button at the end of the page. Please try to accomplish the task as quickly as reasonably possible to you. You can now proceed using the below ""Start Task"" button.","<b>Estimate the proportion of fast movers in percent between 0% and 100% at the marked position</b>. Fast movers are depicted in red, slow movers in blue.<br> Go to the respective moments in time using the time slider. Estimate, how many fish were fast by using the answer options given below the animation. You can use the animation controls to pause, slow down or speed up the animation speed. You can quickly scroll through the whole animation by dragging the time slider using your mouse. Remember that you can pause the animation any time by hitting the pause button. When you have selected your answer, please hit the ""Finish Task"" button at the end of the page. Please try to accomplish the task as quickly as reasonably possible to you. ",
14,1,3,Quantify feature values,"Sometimes, parts of a group of movers behave differently than others. In the next task, you will see marked times in the visualization, where you should estimate how many movers were fast in percent. Fast movers are depicted in red, slow movers in blue.","In this task, please <b>estimate the proportion of fast movers (in red) and slow movers (in blue) at the marked position</b>. You can enter your estimate using the buttons at the bottom of the page. When you are done, please hit the ""Finish Task"" button at the end of the page . Please try to accomplish the task as quickly as reasonably possible to you.",
15,2,3,Quantify feature values,"Sometimes, parts of a group of movers behave differently than others. In the next task, you will see marked times in the visualization, where you should estimate the proportion of fast movers in percent between 0% and 100%. Fast movers are depicted in red, slow movers in blue.<br> In the upcoming task, please go to the respective moments in time using the time slider. Estimate, how many fish were fast by using the answer options given below the animation. You can use the animation controls to pause, slow down or speed up the animation speed. You can quickly scroll through the whole animation by dragging the time slider using your mouse. When you have selected your answer, please hit the ""Finish Task"" button at the end of the page. Please try to accomplish the task as quickly as reasonably possible to you. You can now proceed using the below ""Start Task"" button.","In this task, please <b>estimate the proportion between fast movers (in red) and slow movers (in blue) in the marked image</b>. You can enter your estimate using the buttons at the bottom of the page. When you are done, please hit the ""Finish Task"" button at the end of the page . Please try to accomplish the task as quickly as reasonably possible to you.",
16,3,3,Quantify feature values,"Sometimes, parts of a group of movers behave differently than others. In the next task, you will see marked times in the visualization, where you should estimate the proportion of fast movers in percent between 0% and 100%. Fast movers are depicted in red, slow movers in blue.","In this task, please <b>estimate the proportion between fast movers (in red) and slow movers (in blue) in the marked image</b>.  You can enter your estimate using the buttons at the bottom of the page.  When you are done, please hit the ""Finish Task"" button at the end of the page . Please try to accomplish the task as quickly as reasonably possible to you.",
21,0,99,Understanding Animation,"
<p class=""has-line-data"" data-line-start=""2"" data-line-end=""3"">In the following tasks, you will look at an animation of movers. Each time, you will see about 150 movers represented as dots, as in the example image. The movers are colored according to how fast they are - red movers are faster, blue movers are slower.</p>
<p class=""has-line-data"" data-line-start=""4"" data-line-end=""5"">In the upcoming tasks, you can use the animation controls as shown in the image above to fast forward or backward through the video - just drag the Time slider around or use the buttons, which allow you to pause, play or speed up the animation. Below the animation controls, in the “Input”-Timeline, you can make selections. Depending on the task, you can either select multiple moments in time by just clicking on any part of the timeline, or you can select intervals. To do so, you click once to determine the starting point and a second time to determine where the interval ends. You can always remove your selections or undo them using the respective buttons.</p>
<p class=""has-line-data"" data-line-start=""6"" data-line-end=""7"">Please take your time understanding the controls. Also, you can look at the video below to get an idea how the animation will look like and what you will see in the next tasks. In the next step, you will use them to find and mark two interesting moments in time.</p>","Please use the animation below to mark two moments in the Input timeline: First, <b>find and mark the approximate time in the data, where the movers form a round heap of slow moving(blue) fish in the lower left corner</b> and select it by marking the respective moment in time by clicking in the time line. Second, please also <b>mark the moment, when the movers are in the upper right corner and start turning downwards towards the lower right</b>. 
<br><br>
Remember, that you can use the time slider to go back and forth throught the animation by dragging it to your desire. Also, you can pause and drag without the animation moving.
When you are done, please click ""Finish Task"". If one or both of your answers were not correct, please use the undo-button and then correct your answer by repeating the above steps.",
