id,task_id,start_time,end_time,away_time,user_id,date,task_sequence,task_data
5,24,2021-06-21 11:36:37.841000,2021-06-21 11:37:40.138000,0,4,2021-06-21 11:37:33.180838,0,null
7,16,2021-06-21 11:40:58.017000,2021-06-21 11:42:15.698000,0,4,2021-06-21 11:42:08.773110,2,"[""0"", ""1"", ""4""]"
8,4,2021-06-21 11:42:57.058000,2021-06-21 11:44:57.090000,0,4,2021-06-21 11:44:50.005028,3,"[""0-0"", ""0-2"", ""0-5"", ""1-1"", ""1-5"", ""2-0""]"
9,12,2021-06-21 11:45:41.786000,2021-06-21 11:46:32.330000,0,4,2021-06-21 11:46:25.220208,4,"[""2-5"", ""2-0""]"
10,8,2021-06-21 11:47:03.593000,2021-06-21 11:48:59.699000,0,4,2021-06-21 11:48:52.882772,5,"[""0-2"", ""0-5"", ""1-1"", ""1-3"", ""1-6"", ""2-1"", ""2-4""]"
11,22,2021-06-21 13:21:13.602000,2021-06-21 13:21:55.171000,0,5,2021-06-21 13:21:54.573407,0,"""none"""
13,14,2021-06-21 13:23:37.697000,2021-06-21 13:24:12.698000,0,5,2021-06-21 13:24:12.087621,2,"[""0"", ""0"", ""3""]"
14,6,2021-06-21 13:24:27.898000,2021-06-21 13:24:58.330000,0,5,2021-06-21 13:24:57.730480,3,"[""738.28125"", ""1292.7454833984375"", ""1730.6920166015625"", ""145.64732360839844""]"
15,10,2021-06-21 13:25:15.505000,2021-06-21 13:25:45.825000,0,5,2021-06-21 13:25:45.220145,4,"[""2510.15625"", ""951.2276611328125""]"
16,2,2021-06-21 13:26:15.873000,2021-06-21 13:27:01.593000,0,5,2021-06-21 13:27:01.029183,5,"[""1662.388427734375"", ""141.6294708251953"", ""742.2991333007812""]"
17,23,2021-06-22 14:12:28.034000,2021-06-22 14:13:33.513000,0,6,2021-06-22 14:13:33.577150,0,null
18,11,2021-06-22 14:14:14.129000,2021-06-22 14:15:08.432000,0,6,2021-06-22 14:15:08.517620,1,"[""2-5"", ""2-0""]"
20,15,2021-06-22 14:17:32.160000,2021-06-22 14:18:14.415000,0,6,2021-06-22 14:18:14.463848,3,"[""0"", ""1"", ""4""]"
21,3,2021-06-22 14:18:52.048000,2021-06-22 14:21:15.504000,0,6,2021-06-22 14:21:15.599479,4,"[""0-3"", ""0-6"", ""1-3"", ""1-6"", ""2-1""]"
22,7,2021-06-22 14:21:45.600000,2021-06-22 14:22:52.216000,0,6,2021-06-22 14:22:52.270308,5,"[""0-5"", ""1-2"", ""1-6""]"
23,21,2021-06-22 14:31:30.968000,2021-06-22 14:32:31.644000,0,7,2021-06-22 14:32:31.691149,0,"[24.007015923394096, 55.9346156141493]"
24,13,2021-06-22 14:33:02.863000,2021-06-22 14:35:21.726000,0,7,2021-06-22 14:35:21.816093,1,"[""0"", ""3"", ""2""]"
25,5,2021-06-22 14:36:06.018000,2021-06-22 14:38:17.080000,0,7,2021-06-22 14:38:17.139671,2,"[""427.6401062011719"", ""529.928955078125"", ""647.3717651367188"", ""731.4759521484375"", ""854.9802856445312""]"
26,1,2021-06-22 14:38:49.796000,2021-06-22 14:40:28.890000,0,7,2021-06-22 14:40:28.985009,3,"[""197.3007049560547"", ""315.5011901855469"", ""513.2596435546875"", ""638.2794189453125"", ""732.233642578125""]"
28,9,2021-06-22 14:43:40.728000,2021-06-22 14:44:56.050000,0,7,2021-06-22 14:44:56.118093,5,"{""fastest"": [""956.511474609375""], ""slowest"": [""695.1065673828125""]}"
29,22,2021-06-22 15:25:07.234000,2021-06-22 15:26:04.883000,0,8,2021-06-22 15:26:05.405354,0,"""none"""
31,6,2021-06-22 15:29:34.969000,2021-06-22 15:30:41.865000,0,8,2021-06-22 15:30:42.401550,2,"[""135.15269470214844"", ""309.9305725097656"", ""699.6652221679688"", ""986.94384765625"", ""1669.98388671875"", ""1931.146240234375""]"
32,14,2021-06-22 15:31:08.124000,2021-06-22 15:31:31.738000,0,8,2021-06-22 15:31:32.228419,3,"[""0"", ""1"", ""3""]"
33,2,2021-06-22 15:33:05.241000,2021-06-22 15:33:55.986000,0,8,2021-06-22 15:33:56.488885,4,"[""145.19740295410156"", ""723.7725219726562"", ""1692.082275390625""]"
34,10,2021-06-22 15:34:27.537000,2021-06-22 15:35:35.114000,0,8,2021-06-22 15:35:35.608409,5,"[""2530.6640625"", ""1890.8203125""]"
35,21,2021-06-23 13:06:44.462000,2021-06-23 13:08:48.258000,0,9,2021-06-23 13:08:46.567997,0,"[29.63753377278646, 55.35876573350695]"
36,9,2021-06-23 13:10:11.155000,2021-06-23 13:13:32.682000,0,9,2021-06-23 13:13:31.019089,1,"{""fastest"": [""889.0765380859375""], ""slowest"": [""682.2257080078125""]}"
37,5,2021-06-23 13:15:42.975000,2021-06-23 13:17:13.691000,0,9,2021-06-23 13:17:11.979703,2,"[""127.59273529052734"", ""320.04736328125"", ""639.7947998046875""]"
38,13,2021-06-23 13:18:56.260000,2021-06-23 13:20:56.887000,0,9,2021-06-23 13:20:55.191328,3,"[""1"", ""2"", ""3""]"
40,1,2021-06-23 13:24:39.521000,2021-06-23 13:26:03.660000,0,9,2021-06-23 13:26:01.967840,5,"[""191.99684143066406"", ""322.3204345703125"", ""496.5903625488281"", ""619.3370361328125"", ""748.9028930664062""]"
41,23,2021-06-23 14:27:26.178000,2021-06-23 14:28:05.480000,0,10,2021-06-23 14:28:03.668125,0,null
42,15,2021-06-23 14:28:56.612000,2021-06-23 14:29:27.399000,0,10,2021-06-23 14:29:25.582167,1,"[""0"", ""1"", ""4""]"
43,3,2021-06-23 14:30:08.804000,2021-06-23 14:31:03.999000,0,10,2021-06-23 14:31:02.209485,2,"[""0-1"", ""0-4"", ""0-7"", ""1-3"", ""1-7"", ""2-2"", ""2-6""]"
44,7,2021-06-23 14:32:06.492000,2021-06-23 14:33:24.406000,0,10,2021-06-23 14:33:22.593395,3,"[""0-1"", ""0-3"", ""0-5"", ""1-1"", ""1-6"", ""2-1"", ""2-3""]"
45,11,2021-06-23 14:33:39.150000,2021-06-23 14:34:15.211000,0,10,2021-06-23 14:34:13.398389,4,"[""2-5"", ""1-0""]"
47,24,2021-07-01 15:54:45.150000,2021-07-01 15:55:24.479000,0,11,2021-07-01 15:55:24.080531,0,null
48,4,2021-07-01 15:56:18.870000,2021-07-01 15:57:15.413000,0,11,2021-07-01 15:57:15.087361,1,"[""0-6"", ""1-3"", ""2-1""]"
49,16,2021-07-01 15:57:44.758000,2021-07-01 15:58:18.336000,0,11,2021-07-01 15:58:17.937989,2,"[""0"", ""1"", ""4""]"
50,12,2021-07-01 15:59:06.550000,2021-07-01 15:59:34.430000,0,11,2021-07-01 15:59:34.037425,3,"[""2-6"", ""2-0""]"
51,8,2021-07-01 16:00:07.727000,2021-07-01 16:01:12.917000,0,11,2021-07-01 16:01:12.528770,4,"[""0-3"", ""0-6"", ""1-2"", ""1-6"", ""2-1"", ""2-5""]"
53,22,2021-07-08 09:34:56.764000,2021-07-08 09:37:06.452000,0,12,2021-07-08 09:37:06.995924,0,"""none"""
54,14,2021-07-08 09:37:50.091000,2021-07-08 09:38:21.011000,0,12,2021-07-08 09:38:21.511863,1,"[""0"", ""1"", ""2""]"
55,6,2021-07-08 09:39:18.571000,2021-07-08 09:39:48.995000,0,12,2021-07-08 09:39:49.488445,2,"[""147.32142639160156"", ""703.7946166992188"", ""1288.392822265625"", ""1575.669677734375""]"
56,2,2021-07-08 09:41:58.811000,2021-07-08 09:42:54.308000,0,12,2021-07-08 09:42:54.839778,3,"[""149.33035278320312"", ""723.8839111328125"", ""1736.3839111328125""]"
57,10,2021-07-08 09:43:36.564000,2021-07-08 09:44:10.355000,0,12,2021-07-08 09:44:10.861017,4,"[""2535.9375"", ""1846.875""]"
59,21,2021-07-08 11:08:16.017000,2021-07-08 11:10:06.120000,0,13,2021-07-08 11:10:06.342646,0,"[28.30991495768229, 56.845568305121525]"
60,9,2021-07-08 11:10:48.590000,2021-07-08 11:13:09.415000,0,13,2021-07-08 11:13:09.574713,1,"{""fastest"": [""900.6170043945312""], ""slowest"": [""691.4992065429688""]}"
61,5,2021-07-08 11:14:26.454000,2021-07-08 11:16:19.042000,0,13,2021-07-08 11:16:19.254710,2,"[""257.35247802734375"", ""327.8160705566406"", ""495.2618408203125"", ""621.7932739257812"", ""844.5491943359375""]"
62,13,2021-07-08 11:16:52.629000,2021-07-08 11:18:56.996000,0,13,2021-07-08 11:18:57.178089,3,"[""1"", ""3"", ""3""]"
63,1,2021-07-08 11:19:54.975000,2021-07-08 11:22:11.685000,0,13,2021-07-08 11:22:11.915572,4,"[""455.10516357421875"", ""569.5137939453125"", ""601.3360595703125"", ""717.2600708007812"", ""827.88037109375""]"
65,23,2021-07-08 16:51:20.878000,2021-07-08 16:52:04.229000,0,14,2021-07-08 16:52:05.268861,0,null
66,7,2021-07-08 16:53:57.347000,2021-07-08 16:55:34.291000,0,14,2021-07-08 16:55:35.315090,1,"[""0-0"", ""0-5"", ""0-6"", ""1-1"", ""1-6""]"
67,11,2021-07-08 16:56:23.370000,2021-07-08 16:57:05.209000,0,14,2021-07-08 16:57:06.213765,2,"[""2-5"", ""2-0""]"
69,15,2021-07-08 16:58:52.097000,2021-07-08 16:59:27.641000,0,14,2021-07-08 16:59:28.723288,4,"[""0"", ""1"", ""4""]"
70,3,2021-07-08 17:00:27.120000,2021-07-08 17:01:32.928000,0,14,2021-07-08 17:01:33.946708,5,"[""0-0"", ""0-6"", ""1-2"", ""1-3"", ""1-6"", ""2-1"", ""2-5"", ""2-6"", ""2-7""]"
71,24,2021-07-08 17:08:55.935000,2021-07-08 17:09:28.862000,0,15,2021-07-08 17:09:29.757761,0,null
